numer_sta;date;pmer;tend;cod_tend;dd;ff;t;td;u;vv;ww;w1;w2;n;nbas;hbas;cl;cm;ch;pres;niv_bar;geop;tend24;tn12;tn24;tx12;tx24;tminsol;sw;tw;raf10;rafper;per;etat_sol;ht_neige;ssfrai;perssfrai;rr1;rr3;rr6;rr12;rr24;phenspe1;phenspe2;phenspe3;phenspe4;nnuage1;ctype1;hnuage1;nnuage2;ctype2;hnuage2;nnuage3;ctype3;hnuage3;nnuage4;ctype4;hnuage4;
07314;20240831060000;101600;-30;5;40;1.500000;292.050000;290.750000;92;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;101330;mq;mq;-180;291.850000;mq;295.750000;mq;mq;mq;mq;2.600000;7.700000;-10;mq;mq;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07335;20240831060000;101690;-50;5;10;3.200000;290.650000;290.450000;99;640;45;mq;mq;101;9;30;mq;mq;mq;100280;mq;mq;-90;290.550000;mq;294.550000;mq;291.750000;mq;mq;4.600000;4.600000;-10;1;0.000000;mq;mq;0.000000;-0.100000;0.200000;0.200000;1.400000;mq;mq;mq;mq;9;8;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07434;20240831060000;101610;40;3;100;1.600000;293.150000;290.750000;86;21440;0;mq;mq;100;8;4620;mq;mq;mq;97010;mq;mq;-70;292.850000;mq;296.950000;mq;292.250000;mq;mq;2.300000;2.600000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;-0.100000;mq;mq;mq;mq;6;mq;4620;8;mq;5280;mq;8;mq;mq;mq;mq;
07460;20240831060000;101710;-10;5;130;1.600000;291.650000;288.750000;83;18870;0;mq;mq;mq;0;mq;mq;mq;mq;97880;mq;mq;-50;290.750000;mq;301.150000;mq;290.850000;mq;mq;5.700000;5.700000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07471;20240831060000;mq;0;5;250;1.500000;285.750000;283.850000;88;20000;0;mq;mq;mq;0;mq;mq;mq;mq;92430;92500;827;-50;284.350000;mq;297.350000;mq;284.950000;mq;mq;2.400000;2.400000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07481;20240831060000;101710;40;3;150;1.300000;295.050000;289.350000;70;25000;1;2;2;75;1;2800;32;28;11;98950;mq;mq;-30;294.050000;mq;304.050000;mq;mq;mq;mq;1.600000;2.500000;-10;0;0.000000;0.000000;-60;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;1;8;2800;4;3;3200;3;0;7500;mq;mq;mq;
07510;20240831060000;101540;-20;5;20;1.500000;292.650000;292.150000;97;3000;10;mq;mq;mq;0;mq;mq;mq;mq;100980;mq;mq;-170;292.350000;mq;298.150000;mq;291.950000;mq;mq;3.100000;3.400000;-10;1;0.000000;mq;mq;0.000000;0.200000;0.200000;0.200000;0.200000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07535;20240831060000;101570;0;5;120;1.300000;293.850000;287.950000;69;20000;0;mq;mq;mq;1;3540;mq;mq;mq;98560;mq;mq;-140;291.950000;mq;301.150000;mq;291.550000;mq;mq;3.800000;3.800000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;1;mq;3540;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07558;20240831060000;101690;10;3;10;1.700000;290.650000;283.250000;62;20000;0;mq;mq;mq;mq;mq;mq;mq;mq;93620;mq;mq;-30;289.750000;mq;298.350000;mq;285.650000;mq;mq;2.600000;5.200000;-10;mq;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07577;20240831060000;101730;20;1;70;0.500000;290.050000;289.250000;95;19950;0;mq;mq;mq;mq;mq;mq;mq;mq;100850;mq;mq;-70;288.550000;mq;303.950000;mq;292.750000;mq;mq;1.100000;1.100000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07591;20240831060000;mq;50;3;20;4.000000;291.450000;283.250000;59;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;92090;92500;836;-40;mq;290.150000;mq;304.350000;mq;mq;mq;6.700000;9.100000;-10;mq;mq;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07607;20240831060000;101570;-10;5;150;1.400000;292.550000;292.350000;99;4660;10;mq;mq;90;3;80;mq;mq;mq;100880;mq;mq;-130;292.150000;mq;299.950000;mq;293.650000;mq;mq;2.800000;2.900000;-10;mq;0.000000;mq;mq;0.000000;0.000000;-0.100000;0.800000;1.000000;mq;mq;mq;mq;3;mq;90;7;mq;4080;mq;mq;mq;mq;mq;mq;
07621;20240831060000;101560;20;3;230;1.700000;292.150000;291.450000;96;14060;mq;mq;mq;100;8;3420;mq;mq;mq;97380;mq;mq;-130;292.150000;mq;297.550000;mq;292.650000;mq;mq;2.600000;3.500000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.200000;0.200000;mq;mq;mq;mq;7;mq;3420;8;mq;4320;mq;mq;mq;mq;mq;mq;
07627;20240831060000;101550;40;3;310;1.400000;292.850000;292.850000;100;6400;47;mq;mq;mq;mq;mq;mq;mq;mq;96820;mq;mq;-140;mq;290.750000;mq;302.150000;293.250000;mq;mq;2.200000;2.700000;-10;1;0.000000;mq;mq;0.000000;0.000000;0.200000;0.200000;0.200000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07630;20240831060000;101540;30;3;130;4.700000;295.350000;292.550000;84;18840;0;mq;mq;90;7;2250;mq;mq;mq;99810;mq;mq;-170;294.950000;mq;302.950000;mq;294.150000;mq;mq;7.200000;7.200000;-10;0;0.000000;mq;mq;0.000000;0.000000;-0.100000;-0.100000;0.200000;mq;mq;mq;mq;1;mq;2100;7;mq;3960;mq;mq;mq;mq;mq;mq;
07643;20240831060000;101690;0;5;330;1.500000;292.550000;291.050000;91;19000;0;mq;mq;mq;mq;80;mq;mq;mq;101600;mq;mq;mq;291.750000;mq;297.950000;mq;289.150000;mq;mq;mq;3.600000;-10;mq;0.000000;mq;mq;mq;0.000000;mq;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07650;20240831060000;101660;0;0;140;3.000000;292.550000;289.550000;83;17510;0;mq;mq;mq;0;mq;mq;mq;mq;101280;mq;mq;-90;291.850000;mq;300.250000;mq;291.950000;mq;mq;3.700000;4.300000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07661;20240831060000;mq;mq;mq;70;3.900000;mq;mq;mq;mq;mq;2;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;4.800000;5.300000;-10;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07690;20240831060000;101660;50;3;340;4.700000;298.950000;286.150000;45;40000;2;0;0;50;0;mq;30;20;11;101360;mq;mq;-50;297.650000;mq;300.750000;mq;295.850000;mq;mq;6.100000;6.600000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;4;0;8000;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07747;20240831060000;101670;80;3;210;2.100000;295.050000;292.750000;87;29410;0;mq;mq;90;7;250;mq;mq;mq;101160;mq;mq;-60;293.450000;mq;297.250000;mq;292.650000;mq;mq;3.400000;3.400000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.200000;0.200000;0.200000;mq;mq;mq;mq;7;mq;240;7;mq;510;mq;mq;mq;mq;mq;mq;
07761;20240831060000;101620;30;1;50;3.300000;295.950000;289.050000;65;39530;0;mq;mq;mq;0;mq;mq;mq;mq;101520;mq;mq;-70;293.750000;mq;301.650000;mq;293.150000;mq;mq;4.700000;5.600000;-10;mq;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07790;20240831060000;101650;90;3;220;2.500000;298.050000;289.450000;59;31110;0;mq;mq;mq;0;mq;mq;mq;mq;101510;mq;mq;-40;295.650000;mq;300.550000;mq;297.150000;mq;mq;4.200000;4.200000;-10;mq;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
61968;20240831060000;101760;140;3;90;3.600000;mq;mq;63;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;101710;mq;mq;-80;mq;mq;mq;mq;mq;mq;mq;mq;10.000000;-10;mq;mq;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
